,A,2,3,4,5,6,7,8,9,10
"A,A",P,P,H,P,P,D,P,P,S,S
"10,10",D,S,S,S,S,S,S,S,S,S
"9,9",S,P,S,H,S,H,P,S,P,S
"8,8",P,P,P,S,S,D,P,H,S,P
"7,7",P,H,D,S,P,P,P,P,S,P
"6,6",P,D,P,S,H,H,P,P,P,P
"5,5",D,S,S,H,P,H,H,H,P,H
"4,4",P,P,H,H,S,H,H,H,H,P
"3,3",P,D,H,P,S,S,H,S,H,P
"2,2",H,S,P,H,S,D,H,H,P,P
"A,9",S,S,D,S,H,S,S,S,S,S
"A,8",H,S,S,H,H,H,S,H,H,S
"A,7",H,H,H,S,S,H,S,S,H,H
"A,6",H,H,H,H,H,H,S,H,D,H
"A,5",H,S,H,H,S,H,H,H,H,H
"A,4",H,H,H,H,H,H,H,H,H,H
"A,3",D,H,D,H,H,H,S,H,H,H
"A,2",H,S,H,S,S,H,H,H,H,H
21,S,S,S,S,S,S,S,S,S,S
20,D,S,S,S,S,S,S,S,S,S
19,H,S,S,S,S,S,S,S,S,H
18,H,H,H,H,H,S,S,D,D,H
17,H,H,H,H,D,D,H,H,H,H
16,H,H,S,H,H,H,H,H,H,H
15,H,H,H,H,H,H,H,H,H,H
14,H,H,H,H,H,H,H,H,H,H
13,H,H,H,D,H,D,S,H,H,H
12,H,H,H,H,H,H,H,H,H,H
11,H,H,H,H,S,H,H,H,H,H
10,H,H,H,H,H,H,H,H,H,H
9,H,S,H,H,S,H,H,S,H,H
8,H,H,H,H,H,H,S,H,H,H
7,H,H,H,H,H,H,H,D,H,H
6,H,S,H,H,S,H,H,H,H,H
5,H,H,H,H,H,H,H,H,H,H
