,A,2,3,4,5,6,7,8,9,10
"A,A",D,D,D,D,S,S,S,S,S,S
"10,10",D,D,D,D,D,D,D,D,S,S
"9,9",D,D,D,D,D,D,D,S,S,S
"8,8",D,D,D,D,D,D,S,S,S,S
"7,7",D,D,D,D,D,S,S,S,S,S
"6,6",D,D,D,D,S,S,S,S,S,S
"5,5",D,D,D,S,S,S,S,S,S,S
"4,4",D,D,S,S,S,S,S,S,S,S
"3,3",D,D,S,S,S,S,P,S,S,S
"2,2",P,P,S,S,P,S,S,S,S,S
"A,9",D,D,D,D,D,D,D,D,S,S
"A,8",D,D,D,D,D,D,D,D,S,S
"A,7",D,D,D,D,D,D,D,S,S,S
"A,6",D,D,D,D,D,D,D,S,S,S
"A,5",D,D,D,D,D,D,S,S,S,S
"A,4",D,D,D,D,D,D,S,S,S,S
"A,3",D,D,D,D,D,S,S,S,S,S
"A,2",D,D,D,D,D,S,S,S,S,S
21,D,D,D,D,D,D,D,D,D,S
20,D,D,D,D,D,D,D,D,S,S
19,D,D,D,D,D,D,D,D,S,S
18,D,D,D,D,D,D,D,S,S,S
17,D,D,D,D,D,D,D,S,S,S
16,D,D,D,D,D,D,S,S,S,S
15,D,D,D,D,D,D,S,S,S,S
14,D,D,D,D,D,D,S,S,S,S
13,D,D,D,D,D,S,S,S,S,S
12,D,D,D,D,D,S,S,S,S,S
11,D,D,D,D,S,S,S,S,S,S
10,D,D,D,D,S,S,S,S,S,S
9,D,D,D,S,S,S,S,S,S,S
8,D,D,D,S,S,S,S,S,S,S
7,D,D,S,S,S,S,S,S,S,S
6,D,D,S,S,S,S,S,S,S,S
5,D,D,S,S,S,S,S,S,S,S
