,A,2,3,4,5,6,7,8,9,10
"A,A",P,P,P,P,P,P,P,P,P,P
"10,10",P,P,P,S,S,S,S,S,P,P
"9,9",P,P,P,P,S,S,S,P,P,P
"8,8",P,P,P,P,P,P,P,P,P,P
"7,7",P,P,P,P,P,P,P,P,P,P
"6,6",P,P,P,P,P,P,P,P,P,P
"5,5",P,P,P,P,P,P,P,P,P,P
"4,4",P,P,P,P,P,P,P,P,P,P
"3,3",P,P,P,P,P,P,P,P,P,P
"2,2",P,P,P,P,P,P,P,P,P,P
"A,9",S,S,S,S,S,S,S,S,S,S
"A,8",S,S,S,S,S,S,S,S,S,S
"A,7",S,S,S,S,S,S,S,S,S,D
"A,6",D,S,S,S,S,S,S,S,D,D
"A,5",D,D,S,S,S,S,S,D,D,D
"A,4",D,D,D,S,S,S,D,D,D,D
"A,3",D,D,D,D,S,S,D,D,D,H
"A,2",D,D,D,D,D,D,D,D,D,H
21,S,S,S,S,S,S,S,S,S,S
20,D,S,S,S,S,S,S,S,S,S
19,D,D,S,S,S,S,S,S,S,D
18,D,D,D,S,S,S,S,S,D,D
17,D,D,D,S,S,S,S,D,D,D
16,D,D,D,D,S,S,S,D,D,D
15,D,D,D,D,D,S,D,D,D,D
14,D,D,D,D,D,D,D,D,D,D
13,D,D,D,D,D,D,D,D,D,D
12,D,D,D,D,D,D,D,D,D,H
11,D,D,D,D,D,D,D,D,H,H
10,D,D,D,D,D,D,D,D,H,H
9,D,D,D,D,D,D,D,H,H,H
8,D,D,D,D,D,D,D,H,H,H
7,D,D,D,D,D,D,H,H,H,H
6,D,D,D,D,D,D,H,H,H,H
5,D,D,D,D,D,H,H,H,H,H
